,country,distance,plane_transport,content,amount,S1,S2,S3,alarm
0,China,5039.643002522832,1,electrical,23.75037798204692,0,0,0,0
1,France,451.4114555404259,1,wood,46.187761895206805,1,0,1,0
2,China,5727.468214827519,1,electrical,32.97093425892232,0,0,0,0
3,China,5149.852621445619,0,tiles,32.567428432753765,0,0,1,1
4,Russia,3329.612533252432,1,electrical,17.914029032032644,1,0,1,0
5,China,5613.055991493615,1,wood,22.827359055066765,0,0,1,0
6,China,5698.293705496943,1,wood,18.654291835777247,0,0,0,0
7,China,5727.468214827519,0,electrical,29.943052991339005,0,0,0,0
8,France,515.3718091999796,1,electrical,37.37189485653339,0,0,0,0
9,France,632.7606025642748,0,electrical,20.070183221476654,0,1,0,1
10,France,179.86194676153042,0,electrical,2.1178469162005884,0,1,1,0
11,China,5149.852621445619,0,tiles,4.053511415373661,0,0,0,0
12,China,5698.293705496943,1,tiles,7.629782211954501,1,0,0,0
13,Russia,1309.6841195432958,1,tiles,9.980565774675227,0,0,1,0
14,France,208.08720160782917,0,wood,6.053334171774776,0,0,0,0
15,Russia,3230.2701541363235,0,electrical,45.43984444690931,0,1,1,0
16,China,5727.468214827519,1,electrical,19.60426901244264,1,0,1,0
17,Russia,3244.9694671188086,1,tiles,39.15167663734685,1,0,1,0
18,France,712.7933786572075,0,wood,24.196747595173346,0,1,0,1
19,France,545.7688525453749,1,electrical,39.88686828990797,1,0,1,0
20,France,348.1008185907204,0,electrical,6.535927029866292,0,1,0,1
21,China,5806.745348727089,1,wood,31.419859258244625,0,0,1,0
22,Russia,1655.8258809842837,1,wood,22.923501355144964,0,0,1,0
23,Russia,3244.9694671188086,1,wood,1.7023817378162516,0,0,1,0
24,Russia,1395.7009506850163,1,wood,6.085027609795965,1,0,1,1
25,France,451.4114555404259,0,wood,8.686600926793353,0,1,1,1
26,China,5149.852621445619,0,wood,28.114801140446247,0,1,0,1
27,China,5871.276335819262,0,wood,3.9666002527442146,0,0,0,0
28,Russia,3230.2701541363235,0,electrical,28.935586938871396,0,0,0,0
29,China,5727.468214827519,0,tiles,5.6048101155339705,0,1,0,0
30,France,577.6060779866149,0,tiles,3.070866811529739,0,1,1,0
31,Russia,1715.1331252278073,0,wood,15.539696786066603,0,0,1,1
32,China,5149.852621445619,0,electrical,4.140102575516627,0,0,1,1
33,China,5676.636569141746,1,wood,35.375860491183225,0,0,0,0
34,Russia,1302.7068457225841,1,tiles,25.017977928404285,0,0,1,1
35,China,5527.314526302195,1,tiles,40.67531622426865,0,0,0,0
36,France,577.6060779866149,0,electrical,18.568883253133524,0,1,0,0
37,China,5871.276335819262,1,tiles,10.09377972157269,0,0,0,0
38,China,5676.636569141746,0,wood,42.09751382924391,0,1,0,0
39,Russia,1302.7068457225841,1,electrical,13.389590949155023,0,0,1,0
40,France,139.4848867958015,1,wood,20.540424843978823,1,0,0,1
41,France,208.08720160782917,0,wood,48.20653313778761,0,0,0,0
42,France,545.7688525453749,1,tiles,35.17182749341631,0,0,1,1
43,France,319.6989376015992,0,electrical,32.444831147111,0,0,1,1
44,France,179.86194676153042,1,electrical,1.5597519638990316,1,0,1,1
45,France,208.08720160782917,1,tiles,1.720065329913627,0,0,1,0
46,China,5149.852621445619,1,tiles,7.78609051485721,1,0,0,0
47,China,5149.852621445619,0,electrical,8.57654528447833,0,1,1,1
48,France,348.1008185907204,0,wood,28.013828281221883,0,1,1,1
49,Russia,1715.1331252278073,0,tiles,15.541842388936804,0,0,0,0
50,China,5214.5141165824625,1,tiles,13.278112375114626,0,0,0,0
51,France,515.3718091999796,0,wood,39.88290376958345,0,1,1,0
52,China,5727.468214827519,0,wood,8.7847664952488,0,0,1,0
53,France,406.41363707746166,1,electrical,9.329541152624182,0,0,1,0
54,China,5039.643002522832,0,electrical,16.548302500083643,0,1,0,0
55,Russia,1558.7508968735642,0,tiles,24.437964945065534,0,0,1,1
56,Russia,3329.612533252432,0,electrical,27.445971291125254,0,0,1,1
57,China,5214.5141165824625,1,wood,15.464967495322648,1,0,0,1
58,France,632.7606025642748,0,wood,36.79176488686954,0,0,1,0
59,Russia,1655.8258809842837,0,wood,7.345948130922825,0,1,1,0
60,China,5676.636569141746,1,electrical,31.906850578578695,1,0,0,0
61,China,5527.314526302195,1,tiles,15.631996021912581,1,0,0,0
62,China,5676.636569141746,1,wood,16.21927508354892,1,0,0,0
63,France,179.86194676153042,1,electrical,7.3668472244393675,0,0,1,0
64,Russia,1459.0058930431073,0,electrical,12.289968168076848,0,1,1,0
65,Russia,1655.8258809842837,0,wood,8.309267325602896,0,0,0,0
66,Russia,1309.6841195432958,1,electrical,1.8372068836275695,1,0,1,1
67,China,5072.243582945506,1,electrical,11.035443775995752,0,0,0,0
68,China,5072.243582945506,1,wood,45.18906485686329,0,0,0,0
69,Russia,1715.1331252278073,1,electrical,44.94629967731665,0,0,1,0
70,Russia,3329.612533252432,0,wood,43.35491689359829,0,0,1,1
71,China,5513.899770103283,0,wood,22.608627682975683,0,0,0,0
72,France,179.86194676153042,0,electrical,49.250593742855564,0,1,1,1
73,China,5527.314526302195,0,tiles,28.884367775408464,0,0,0,0
74,China,5871.276335819262,0,wood,21.42633330695931,0,1,1,1
75,China,5613.055991493615,1,electrical,35.81729941205497,0,0,0,0
76,Russia,1585.3938077106507,0,wood,1.6696133965091438,0,1,1,1
77,Russia,3244.9694671188086,0,wood,24.029199904842624,0,1,0,1
78,Russia,1585.3938077106507,0,tiles,8.192328164070954,0,0,0,0
79,Russia,3244.9694671188086,0,tiles,40.08849224708106,0,0,1,0
80,Russia,1558.7508968735642,1,electrical,29.406841820611508,0,0,0,0
81,China,5698.293705496943,1,electrical,9.343849691063248,0,0,0,0
82,Russia,1585.3938077106507,1,tiles,30.488810094317447,1,0,1,0
83,France,632.7606025642748,0,electrical,25.5387039286075,0,0,1,0
84,China,5513.899770103283,0,tiles,44.76273334674167,0,1,0,1
85,France,348.1008185907204,0,wood,5.535558626220352,0,1,1,0
86,Russia,1309.6841195432958,1,electrical,46.37453363972111,0,0,1,0
87,China,5214.5141165824625,1,tiles,33.640827333923944,0,0,0,0
88,France,406.41363707746166,0,tiles,47.63919561540606,0,1,0,1
89,China,5214.5141165824625,1,electrical,24.56482153182913,0,0,0,0
90,France,348.1008185907204,1,electrical,42.342961906214306,1,0,0,0
91,Russia,1558.7508968735642,1,electrical,25.96654181967266,0,0,1,1
92,France,179.86194676153042,1,tiles,33.89841276563119,0,0,1,1
93,France,545.7688525453749,1,wood,36.78033734286256,1,0,0,0
94,France,348.1008185907204,0,wood,5.4952191178145755,0,0,1,0
95,France,406.41363707746166,0,wood,16.129910833555535,0,1,0,0
96,France,348.1008185907204,0,electrical,33.831661695846904,0,1,1,1
97,China,5613.055991493615,0,wood,41.809633092037075,0,0,0,0
98,Russia,3244.9694671188086,0,tiles,17.667354216286128,0,0,1,0
99,Russia,1558.7508968735642,0,wood,31.138296358230896,0,1,1,0
100,Russia,1459.0058930431073,0,wood,19.966646156170835,0,0,1,1
101,Russia,1558.7508968735642,0,wood,6.509262157067024,0,1,1,1
102,Russia,3230.2701541363235,1,wood,26.882630308999897,1,0,1,1
103,Russia,1395.7009506850163,1,electrical,38.07064293308845,1,0,1,1
104,China,5513.899770103283,0,tiles,35.65232397059102,0,1,1,1
105,Russia,1558.7508968735642,0,tiles,48.46804411460986,0,0,1,1
106,Russia,1459.0058930431073,0,wood,10.576247480624106,0,1,0,1
107,Russia,1309.6841195432958,1,electrical,23.659260914829172,1,0,1,1
108,Russia,3230.2701541363235,0,tiles,27.596268354146424,0,0,1,1
109,France,139.4848867958015,0,electrical,30.499366644796275,0,0,0,0
110,France,515.3718091999796,0,electrical,38.93152141111989,0,0,0,0
111,France,712.7933786572075,1,wood,36.246745413154756,0,0,1,1
112,Russia,1459.0058930431073,1,electrical,39.60596043077534,1,0,1,0
113,Russia,1459.0058930431073,1,wood,25.156422834590877,1,0,1,1
114,China,5727.468214827519,0,tiles,38.839324764289046,0,1,0,0
115,China,5727.468214827519,1,tiles,26.903441908121454,1,0,0,0
116,France,406.41363707746166,0,tiles,8.442502254054373,0,0,0,0
117,Russia,1309.6841195432958,0,wood,2.9237551459160755,0,0,1,0
118,China,5676.636569141746,1,electrical,25.06614050183684,1,0,1,1
119,France,451.4114555404259,1,tiles,7.495260804273445,1,0,0,1
120,Russia,1459.0058930431073,1,electrical,24.12200551655938,1,0,1,0
121,China,5727.468214827519,1,electrical,26.307465910283376,0,0,0,0
122,France,348.1008185907204,1,wood,44.61756195077855,1,0,0,0
123,Russia,1715.1331252278073,1,tiles,16.88358513090909,1,0,1,1
124,China,5613.055991493615,1,wood,45.27879146732857,0,0,1,0
125,France,208.08720160782917,1,tiles,11.201252424790377,0,0,0,0
126,China,5149.852621445619,0,wood,41.172149515448034,0,0,0,0
127,France,545.7688525453749,0,electrical,25.01008814678626,0,1,0,1
128,France,208.08720160782917,1,electrical,37.75817397839307,0,0,0,0
129,Russia,1558.7508968735642,0,wood,28.764123175259165,0,0,1,0
130,China,5806.745348727089,0,wood,13.197435689143727,0,0,0,0
131,China,5513.899770103283,1,tiles,28.455890476855217,0,0,0,0
132,France,319.6989376015992,0,wood,29.38203490254216,0,1,1,1
133,Russia,3230.2701541363235,0,wood,14.316978653727855,0,1,1,0
134,France,632.7606025642748,1,electrical,20.539450750539363,0,0,1,1
135,China,5806.745348727089,0,wood,29.939766745515776,0,1,1,0
136,Russia,3244.9694671188086,0,wood,46.2725117237717,0,1,1,1
137,Russia,1715.1331252278073,0,tiles,31.569592621913678,0,0,1,1
138,Russia,3230.2701541363235,0,electrical,43.05768529976908,0,0,1,0
139,France,515.3718091999796,1,tiles,49.56344893217606,0,0,1,0
140,Russia,3244.9694671188086,0,tiles,38.560516684388226,0,0,0,0
141,France,545.7688525453749,1,electrical,32.20396270820481,1,0,1,0
142,France,577.6060779866149,0,electrical,14.647419256093627,0,1,1,0
143,Russia,1459.0058930431073,1,wood,32.5521935319221,0,0,1,1
144,Russia,3393.347674966075,1,electrical,35.67398239621193,0,0,1,1
145,China,5727.468214827519,1,tiles,1.0702559585375109,1,0,0,1
146,France,451.4114555404259,1,tiles,10.216770291685528,0,0,0,0
147,Russia,1558.7508968735642,0,electrical,47.51814611393665,0,0,1,0
148,Russia,1395.7009506850163,1,electrical,21.344428969148662,0,0,1,1
149,France,545.7688525453749,1,wood,5.614863754817603,1,0,1,1
150,Russia,1395.7009506850163,1,electrical,3.9082548646089226,0,0,1,1
151,France,712.7933786572075,1,electrical,44.88646071467798,1,0,1,1
152,Russia,1302.7068457225841,1,electrical,20.841039947375947,1,0,1,1
153,Russia,3230.2701541363235,0,wood,24.348278281022477,0,0,0,0
154,China,5676.636569141746,0,electrical,17.7490365134941,0,0,0,0
155,Russia,1655.8258809842837,1,tiles,29.0894676342966,0,0,1,0
156,Russia,1585.3938077106507,1,electrical,27.815056960407762,1,0,1,0
157,France,139.4848867958015,0,tiles,15.111350193479808,0,0,1,1
158,France,319.6989376015992,0,electrical,37.046195278483516,0,1,1,1
159,Russia,1715.1331252278073,0,electrical,17.224344570718912,0,0,1,0
160,China,5527.314526302195,0,electrical,47.32036152527926,0,0,1,0
161,France,545.7688525453749,1,electrical,22.84472612641441,1,0,1,0
162,China,5072.243582945506,1,tiles,1.7316409309956717,1,0,0,1
163,Russia,1655.8258809842837,1,wood,16.879028334962456,1,0,1,0
164,France,632.7606025642748,0,wood,37.238976178605824,0,0,0,0
165,Russia,1715.1331252278073,0,wood,4.537808445837012,0,1,1,1
166,France,515.3718091999796,1,tiles,6.20193105762751,0,0,0,0
167,Russia,1302.7068457225841,0,wood,34.69987060595111,0,0,1,1
168,France,208.08720160782917,0,electrical,23.998926270136693,0,0,1,0
169,France,577.6060779866149,0,electrical,23.639222287257056,0,1,1,0
170,Russia,1302.7068457225841,1,tiles,16.29875912552113,0,0,1,1
171,China,5871.276335819262,0,wood,44.95995709608227,0,0,0,0
172,China,5214.5141165824625,0,electrical,14.77899226239291,0,0,1,0
173,France,179.86194676153042,1,tiles,33.48351500630404,1,0,0,1
174,France,632.7606025642748,1,electrical,24.17935481352011,0,0,0,0
175,China,5871.276335819262,0,electrical,3.9423579998068017,0,1,0,1
176,Russia,3230.2701541363235,1,wood,27.37658991950291,1,0,1,0
177,Russia,3393.347674966075,1,tiles,49.79035007901344,1,0,0,1
178,Russia,1459.0058930431073,0,tiles,17.495373260962204,0,1,1,0
179,China,5676.636569141746,0,electrical,23.410766672556804,0,1,0,1
180,China,5806.745348727089,0,tiles,45.85069677224985,0,0,1,0
181,China,5149.852621445619,0,tiles,31.758582715392365,0,1,0,0
182,France,577.6060779866149,0,electrical,49.2984358865928,0,1,1,1
183,Russia,1655.8258809842837,1,electrical,35.81967951635308,1,0,1,1
184,France,179.86194676153042,0,electrical,20.982688963380586,0,0,1,0
185,France,451.4114555404259,1,tiles,21.312290896064525,0,0,1,1
186,China,5727.468214827519,0,electrical,38.66904477850165,0,0,1,0
187,France,515.3718091999796,1,electrical,37.848100825021994,0,0,1,1
188,Russia,3329.612533252432,1,tiles,10.050510573836563,0,0,1,0
189,China,5806.745348727089,1,wood,5.608032711027565,1,0,0,0
190,France,208.08720160782917,0,tiles,19.098027391624264,0,1,1,0
191,France,139.4848867958015,0,wood,46.91796963606234,0,1,0,0
192,Russia,1585.3938077106507,1,tiles,44.450985967443486,1,0,1,1
193,France,179.86194676153042,0,electrical,32.937368921702586,0,0,1,1
194,France,712.7933786572075,0,wood,38.51358137901084,0,0,0,0
195,Russia,1655.8258809842837,0,electrical,21.458667077067144,0,0,1,0
196,China,5214.5141165824625,1,wood,17.64498486486743,1,0,0,0
197,France,712.7933786572075,0,wood,10.639271537674961,0,0,1,0
198,Russia,3230.2701541363235,1,electrical,13.825678484364447,0,0,1,1
199,China,5072.243582945506,0,electrical,15.14391849096632,0,1,0,1
200,France,515.3718091999796,1,wood,20.13976581919974,0,0,1,1
