,country,plane_transport,content,weight,S1,S2,S3,alarm
0,France,0,banana,91.26882982572273,0,1,0,1
1,China,1,electrical,72.93624642229054,1,0,0,0
2,China,1,banana,71.22730817870188,0,0,1,1
3,France,1,tiles,85.41886884708929,0,0,1,0
4,France,0,banana,20.9654122982731,0,0,1,0
5,China,1,wood,96.99464105337408,1,0,0,0
6,Russia,1,tiles,17.286306289104868,1,0,1,1
7,Russia,1,wood,30.030284070837432,1,0,1,0
8,Russia,1,banana,95.69349418800356,0,0,1,0
9,France,0,tiles,19.142701147741526,0,0,0,0
10,China,0,wood,39.87036422728919,0,0,1,0
11,France,1,banana,41.73483530399753,0,0,1,1
12,Russia,1,tiles,57.623776065614166,0,0,1,0
13,China,1,electrical,29.249494299008383,1,0,0,0
14,Russia,1,tiles,9.495632825319845,0,0,1,1
15,France,0,banana,75.82688984914913,0,1,0,0
16,Russia,0,tiles,95.58437206547435,0,0,1,0
17,Russia,0,banana,86.90797720485979,0,1,1,0
18,China,0,banana,22.448171320655497,0,1,1,1
19,Russia,1,banana,2.984757503639257,1,0,0,0
20,Russia,0,electrical,20.564520015334274,0,1,0,0
21,Russia,1,wood,36.24038088942553,0,0,0,0
22,Russia,0,banana,35.18887656731392,0,0,1,0
23,Russia,1,banana,97.35729508597102,1,0,1,0
24,China,0,wood,56.00358035660095,0,0,1,1
25,Russia,1,wood,22.15007057016134,0,0,1,1
26,Russia,0,wood,93.33890406878082,0,0,1,0
27,China,1,electrical,30.124123539381454,0,0,1,0
28,China,1,tiles,17.344738961796203,0,0,0,0
29,China,0,tiles,15.450492880073863,0,0,0,0
30,China,0,wood,53.39463408044822,0,1,0,0
31,France,0,tiles,64.28159444346525,0,1,1,1
32,France,0,tiles,46.60279166136989,0,1,1,1
33,France,0,tiles,70.4545620510238,0,0,1,0
34,Russia,0,tiles,84.26907835479145,0,1,0,0
35,China,1,electrical,4.177245671133667,1,0,0,1
36,France,1,tiles,78.41583750137238,0,0,1,1
37,China,0,wood,22.02384192516358,0,0,1,0
38,France,1,banana,95.37373997148609,0,0,1,0
39,Russia,1,banana,32.18101178711659,0,0,1,0
40,Russia,0,wood,92.83957263685019,0,1,1,1
41,China,0,electrical,40.37045583098342,0,0,0,0
42,France,1,wood,5.77507039647307,1,0,0,0
43,France,1,electrical,10.164260309281891,0,0,0,0
44,France,0,electrical,71.01179407255542,0,0,0,0
45,France,1,banana,2.284428568409802,0,0,1,1
46,China,1,banana,23.18294172475408,1,0,0,1
47,France,1,electrical,81.23343266315261,0,0,1,0
48,China,0,tiles,36.55796770011295,0,1,0,1
49,Russia,0,banana,76.71281852479876,0,1,1,0
50,France,0,banana,17.18575816427895,0,1,0,0
51,France,1,wood,92.80018246125611,0,0,0,0
52,France,1,banana,27.889996836386764,1,0,0,1
53,China,1,electrical,40.79191110955631,1,0,0,1
54,China,1,banana,41.611325306921984,1,0,0,1
55,France,0,banana,44.776066316245334,0,1,1,1
56,China,0,banana,99.91405559603345,0,1,1,1
57,Russia,0,wood,12.740296683743225,0,1,1,1
58,China,0,wood,63.52328484945274,0,1,0,1
59,China,1,tiles,85.12145843079573,1,0,0,0
60,Russia,0,wood,4.050545283115237,0,0,1,1
61,France,1,wood,52.10180539244431,0,0,0,0
62,China,0,banana,63.37645093618099,0,1,1,1
63,China,1,tiles,66.1650984795378,0,0,1,0
64,France,1,banana,10.456010838810247,0,0,1,0
65,Russia,1,wood,85.84635937346735,0,0,1,1
66,Russia,1,electrical,34.98024404136325,0,0,0,0
67,China,0,tiles,16.479601456275915,0,0,1,0
68,China,1,tiles,28.75777050613878,0,0,1,1
69,China,1,electrical,68.38544478484636,0,0,0,0
70,China,1,banana,26.411182897467423,0,0,0,0
71,China,0,wood,76.68033178812405,0,1,0,0
72,Russia,0,tiles,46.394753973169955,0,1,1,1
73,France,0,electrical,95.87167641854523,0,1,1,0
74,France,1,banana,29.640479141482544,0,0,1,1
75,Russia,0,wood,17.01791005031422,0,1,1,1
76,France,1,wood,67.7681663124067,1,0,1,1
77,China,1,banana,4.465577207698068,1,0,0,1
78,China,1,electrical,52.37049963893809,0,0,0,0
79,France,1,electrical,54.762067671939185,0,0,1,1
80,China,1,banana,22.252073855700704,0,0,1,1
81,Russia,1,wood,31.030126357567834,1,0,1,1
82,Russia,0,electrical,61.43613796532649,0,0,1,1
83,Russia,0,wood,6.883832122657541,0,0,1,0
84,China,0,banana,80.32815158490544,0,1,0,0
85,China,1,banana,74.7951489305322,0,0,1,1
86,Russia,1,electrical,78.47693688975086,1,0,1,0
87,France,0,electrical,51.27505287371682,0,0,0,0
88,France,0,tiles,13.503527304466667,0,1,1,1
89,China,1,electrical,38.39712440664789,1,0,1,1
90,China,0,wood,8.342737334067818,0,1,0,0
91,France,0,electrical,86.34023282142151,0,1,1,1
92,France,0,tiles,43.60834662392171,0,1,0,1
93,China,0,wood,64.02483243594376,0,1,1,1
94,France,0,tiles,13.719738451615914,0,0,0,0
95,Russia,1,banana,87.97555859757445,0,0,1,1
96,France,0,tiles,39.30966803339686,0,0,0,0
97,Russia,0,wood,37.64058821386074,0,1,0,0
98,Russia,0,electrical,78.96011030732276,0,0,0,0
99,Russia,0,wood,73.33422361548183,0,0,1,1
100,Russia,0,tiles,45.315709702134136,0,0,0,0
101,China,1,tiles,54.16555774014136,1,0,0,0
102,Russia,0,wood,61.989342956236705,0,0,0,0
103,France,1,tiles,86.56285374936175,0,0,1,0
104,Russia,1,banana,13.413409099640505,0,0,1,0
105,China,1,banana,7.473038520733921,0,0,0,0
106,Russia,1,tiles,85.12520373924461,0,0,1,0
107,China,1,electrical,84.6866813329569,1,0,1,1
108,Russia,0,banana,75.03171542146002,0,1,1,1
109,Russia,1,wood,70.90857433272643,0,0,1,0
110,Russia,1,banana,92.81226490725702,1,0,0,0
111,France,1,wood,11.838367646669646,0,0,0,0
112,China,0,electrical,0.41767151130294167,0,1,0,0
113,China,1,tiles,5.6613977067133225,0,0,1,1
114,Russia,1,electrical,90.50502085036088,1,0,0,1
115,Russia,0,tiles,88.27843799297574,0,1,1,1
116,France,1,tiles,60.39977895837288,0,0,0,0
117,Russia,1,wood,59.2493104633709,1,0,1,1
118,France,0,electrical,26.433257200845205,0,1,1,1
119,France,1,tiles,72.4213211935202,1,0,1,0
120,Russia,0,tiles,79.10027300254909,0,1,1,0
121,France,1,electrical,37.614341570090915,0,0,1,0
122,China,0,electrical,92.51760910112526,0,1,0,0
123,France,1,wood,17.869455632861563,1,0,0,1
124,Russia,0,electrical,64.91654361459005,0,0,0,0
125,Russia,1,electrical,27.202450082678908,1,0,1,1
126,Russia,1,electrical,70.57112539212312,1,0,1,0
127,China,0,electrical,40.340893234807076,0,1,1,1
128,France,1,banana,45.26365413793556,1,0,1,1
129,France,1,wood,54.600733676288385,1,0,0,1
130,France,1,electrical,31.142917296471218,0,0,0,0
131,China,1,banana,32.810605622251096,0,0,0,0
132,France,0,wood,63.528061125068135,0,1,1,1
133,Russia,1,electrical,25.524078690066798,0,0,0,0
134,France,0,banana,28.346921422261907,0,0,0,0
135,Russia,1,tiles,43.22985473517414,1,0,1,1
136,Russia,1,banana,53.1659141649959,0,0,1,0
137,Russia,0,tiles,78.76640788084532,0,1,0,0
138,France,1,wood,54.01602223325585,0,0,0,0
139,China,1,wood,54.07609028408265,0,0,1,0
140,France,0,tiles,26.951868893022713,0,0,1,0
141,France,0,electrical,34.58236137189503,0,1,0,0
142,Russia,0,tiles,60.703763719482275,0,1,1,1
143,Russia,0,wood,62.944143229594665,0,1,1,1
144,Russia,0,electrical,10.979179720981646,0,1,1,0
145,France,0,electrical,10.328085541836717,0,1,1,1
146,Russia,1,banana,51.28414887573122,1,0,0,0
147,China,0,wood,12.35372566144568,0,0,0,0
148,China,0,wood,42.390441441723425,0,1,0,1
149,Russia,0,tiles,38.487754961562345,0,1,0,0
150,France,0,wood,87.60950366081897,0,0,1,0
151,France,0,banana,78.23847940752657,0,0,1,1
152,France,1,tiles,67.81379483425141,1,0,1,0
153,France,1,electrical,65.71739030141225,0,0,1,1
154,France,1,electrical,26.159582933756788,0,0,1,1
155,China,0,banana,70.39269859629822,0,0,1,0
156,China,1,tiles,68.73360579284163,1,0,0,0
157,France,0,banana,14.57979813692022,0,0,0,0
158,China,0,wood,28.606436479903074,0,0,1,1
159,Russia,1,wood,22.603212878573164,1,0,1,1
160,France,0,wood,72.71488543149009,0,1,1,1
161,France,1,electrical,78.59608287866561,0,0,0,0
162,Russia,1,tiles,59.57811645560359,1,0,1,1
163,China,0,tiles,74.70691136330801,0,1,0,1
164,China,1,wood,85.24151879699784,0,0,1,0
165,France,1,banana,57.795669489804794,1,0,1,0
166,Russia,0,tiles,31.326759112079205,0,0,1,1
167,China,1,wood,22.622010366561383,1,0,1,1
168,Russia,1,tiles,59.685391360919205,0,0,1,0
169,Russia,0,tiles,15.649531189348842,0,0,1,1
170,China,1,tiles,2.2112905766313196,1,0,1,1
171,China,0,banana,97.4661220433999,0,1,1,1
172,China,1,wood,48.4372774061725,0,0,1,0
173,France,1,banana,82.88034375125561,0,0,1,0
174,China,0,wood,15.171772743183642,0,0,1,0
175,France,1,electrical,71.42693623042446,1,0,1,0
176,Russia,1,electrical,34.58629755934166,0,0,1,1
177,France,0,banana,36.45902964059603,0,1,1,1
178,China,0,wood,25.79479305385608,0,0,0,0
179,Russia,0,electrical,99.58594652672683,0,1,0,1
180,France,0,wood,69.31788611411544,0,1,1,0
181,China,0,tiles,85.43091546940728,0,0,0,0
182,Russia,1,banana,54.7627040644725,1,0,1,1
183,France,0,electrical,94.23720179324916,0,1,1,0
184,France,1,tiles,95.30717935898365,0,0,1,0
185,France,0,electrical,99.80634618344226,0,0,1,0
186,China,1,tiles,89.0467548358811,1,0,1,1
187,Russia,1,banana,8.700680340063037,1,0,1,1
188,Russia,1,banana,99.76257538886027,1,0,1,0
189,China,0,banana,80.71531261154344,0,0,0,0
190,France,1,tiles,57.98802823014567,0,0,1,1
191,Russia,0,tiles,65.89783444697402,0,1,1,0
192,France,0,wood,17.24909101129819,0,1,0,1
193,France,0,tiles,15.775741423178335,0,1,1,1
194,France,1,wood,27.359790795799544,0,0,0,0
195,Russia,0,wood,50.42808796560367,0,1,0,1
196,France,1,tiles,35.99142063521465,1,0,0,1
197,Russia,0,wood,72.05624652812853,0,0,0,0
198,Russia,0,electrical,60.128763799923625,0,1,1,1
199,Russia,1,wood,20.412126757378456,1,0,1,1
200,France,0,tiles,48.36530526142747,0,1,1,1
201,France,0,electrical,11.491289502248724,0,0,1,0
202,France,1,wood,86.83934783104996,0,0,1,0
203,Russia,1,wood,63.78117025397753,0,0,1,1
204,China,1,electrical,18.790933540105204,0,0,1,1
205,Russia,1,tiles,81.3871777660933,0,0,1,0
206,France,0,tiles,36.97434546328188,0,1,0,0
207,China,1,tiles,20.262688576608788,1,0,0,0
208,Russia,1,electrical,69.50614508719353,1,0,1,0
209,Russia,1,banana,78.51778358698239,0,0,1,1
210,France,1,wood,46.425399002057,0,0,0,0
211,China,0,electrical,2.042485499460467,0,1,0,0
212,France,1,banana,12.971993105494873,0,0,0,0
213,China,0,banana,14.116133294765977,0,1,1,1
214,China,1,electrical,17.355017941428464,0,0,0,0
215,Russia,0,electrical,93.39771939285896,0,1,0,0
216,Russia,0,wood,49.31072908282441,0,1,0,0
217,France,1,banana,90.49014622689265,0,0,1,0
218,China,0,wood,50.66618849927662,0,1,1,0
219,Russia,0,wood,12.140360359363822,0,1,1,0
220,China,1,tiles,39.550245596383625,0,0,0,0
221,France,1,banana,63.30184166190279,0,0,1,1
222,Russia,1,wood,33.528744904003894,0,0,1,0
223,Russia,0,banana,40.07541473487177,0,0,1,0
224,Russia,1,wood,26.924547496773744,0,0,1,1
225,France,0,electrical,89.52683478601874,0,1,0,0
